year,Bauxite,Alumina,Aluminium
1990,6243,8491,940
1991,6985,9186,919
1992,4440,9453,931
1993,4212,9665,979
1994,3700,10221,1056
1995,4937,10315,920
1996,4717,10984,1042
1997,4737,11011,1060
1998,5003,10536,1233
1999,5397,11059,1365
2000,7259,11654,1364
2001,6891,12721,1471
2002,5429,13091,1490
2003,7445,13168,1551
2004,6917,13572,1546
2005,4900,14073,1512
2006,5639,14499,1617
2007,5700,15056,1638
2008,7917,15739,1650
2009,7470,16395,1748
2010,8023,16653,1624
2011,8595,16227,1686
2012,10518,16592,1693
2013,12567,18914,1569
2014,15146,18614,1576
2015,20204,17363,1432
2016,20971,17676,1442
2017,24851,18230,1329
2018,29880,17746,1431
